Doc. vente;Don. ordre;GrVd;Créé le;DébValid;Offre;Date doc.;TypDC;Valeur nette;Dev.;AgCom;Dat.lv.req;Date cde;NbRel;Dern. rel.;TDVt;Motif de la commande client/op;Mod. doc.;Prb;BlLi;Dat.garant;
1201000290;1211356;1;28.01.2015;00.00.0000;00.00.0000;31.12.2014;C;0;EUR;1;28.01.2015;28.01.2015;0;00.00.0000;ZCSI;;;100;;19.03.2015;0
1201000290;1211356;1;28.01.2015;00.00.0000;00.00.0000;31.12.2014;C;0;EUR;1;28.01.2015;28.01.2015;0;00.00.0000;ZCSI;;;100;;19.03.2015;0
1201000289;1211628;1;28.01.2015;00.00.0000;00.00.0000;31.12.2014;C;0;EUR;1;28.01.2015;28.01.2015;0;00.00.0000;ZCSI;;;100;;19.03.2015;0
1201000289;1211628;1;28.01.2015;00.00.0000;00.00.0000;31.12.2014;C;0;EUR;1;28.01.2015;28.01.2015;0;00.00.0000;ZCSI;;;100;;19.03.2015;0
1205000750;1210042;1;20.02.2015;20.02.2015;20.03.2015;20.02.2015;B;153,85;EUR;1;10.03.2015;20.02.2015;0;00.00.0000;OF;Devis : Commandé;;70;;00.00.0000;0
1205000750;1210042;1;20.02.2015;20.02.2015;20.03.2015;20.02.2015;B;153,85;EUR;1;10.03.2015;20.02.2015;0;00.00.0000;OF;Devis : Commandé;;70;;00.00.0000;0
1205000635;1230132;1;04.02.2015;04.02.2015;31.03.2015;04.02.2015;B;1.610,00;EUR;1;04.02.2015;00.00.0000;0;00.00.0000;OF;Devis : Commandé;;50;;00.00.0000;0
1205000635;1230132;1;04.02.2015;04.02.2015;31.03.2015;04.02.2015;B;1.610,00;EUR;1;04.02.2015;00.00.0000;0;00.00.0000;OF;Devis : Commandé;;50;;00.00.0000;0
1201000186;1210042;1;08.01.2015;00.00.0000;00.00.0000;31.10.2014;C;1.660,00;EUR;1;07.11.2014;00.00.0000;0;00.00.0000;ZCSI;;;100;;01.08.2015;0
1201000186;1210042;1;08.01.2015;00.00.0000;00.00.0000;31.10.2014;C;1.660,00;EUR;1;07.11.2014;00.00.0000;0;00.00.0000;ZCSI;;;100;;01.08.2015;0
1201000070;1210971;1;02.01.2015;00.00.0000;00.00.0000;03.10.2014;C;2.497,00;EUR;1;08.12.2014;00.00.0000;0;00.00.0000;ZCSI;;;100;;28.02.2016;0
1201000070;1210971;1;02.01.2015;00.00.0000;00.00.0000;03.10.2014;C;2.497,00;EUR;1;08.12.2014;00.00.0000;0;00.00.0000;ZCSI;;;100;;28.02.2016;0
1201000165;1210874;1;08.01.2015;00.00.0000;00.00.0000;26.11.2014;C;2.590,00;EUR;1;20.01.2014;00.00.0000;0;00.00.0000;ZCSI;;;100;;28.01.2015;0
1201000165;1210874;1;08.01.2015;00.00.0000;00.00.0000;26.11.2014;C;2.590,00;EUR;1;20.01.2014;00.00.0000;0;00.00.0000;ZCSI;;;100;;28.01.2015;0
